host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
2051125,Wayne,Brooklyn,NY,11211,United States,40.7069533,-73.9560696,Apartment,Private room,1,1,1,1,Real Bed,,$55.00 ,336,0,,,,
194918,Mark,New York,NY,10028,United States,40.77924244,-73.9555954,Apartment,Entire home/apt,8,2,3,4,Real Bed,1700,$550.00 ,357,6,88,9,10,9
63394,Oscar,New York,NY,10001,United States,40.74687821,-74.00168934,Apartment,Shared room,2,2,1,1,Real Bed,,$98.00 ,365,27,95,10,10,9
23774810,E,"Bronx, Riverdale ",NY,10463,United States,40.88622677,-73.90406044,House,Private room,3,1,1,2,Real Bed,,$50.00 ,364,0,,,,
17251787,Sam,New York,NY,10011,United States,40.74262809,-74.00428477,Apartment,Private room,2,1,1,1,Real Bed,,$150.00 ,165,0,,,,
11415824,Allison,New York,NY,10027,United States,40.80908371,-73.94221663,Apartment,Entire home/apt,6,3,2,4,Real Bed,,"$1,200.00 ",323,0,,,,
1216641,Paige,New York,NY,10014,United States,40.73435221,-74.00798589,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$189.00 ,252,3,100,10,10,10
10729258,Alexey,New York,NY,10036,United States,40.75831835,-73.9900318,Apartment,Private room,2,1,1,1,Real Bed,,$120.00 ,164,1,80,8,8,8
2648341,Jackie,New York,NY,10014,United States,40.7320653,-74.00219514,Apartment,Entire home/apt,2,1,2,1,Real Bed,,$250.00 ,168,3,99,10,10,10
9889178,Russell,New York,NY,10016,United States,40.7402482,-73.97730567,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$175.00 ,365,0,,,,
1378790,Linlin,New York,NY,10009,United States,40.7256377,-73.98241149,Apartment,Private room,1,1,1,1,Real Bed,,$65.00 ,365,38,97,9,10,10
