city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
33,129,11,1,5,12,40.68193862,-73.92895554,6.0,1.0,2.0,3.0,139.0,287.0,23.166666666666668
105,10,1,2,5,11,40.72897345,-73.98013837,2.0,1.0,1.0,1.0,120.0,111.0,60.0
105,12,1,1,5,11,40.73491872,-73.97752332,4.0,1.0,1.0,1.0,159.0,120.0,39.75
33,127,1,2,5,11,40.67643575,-73.99862261,2.0,1.0,1.0,2.0,94.0,360.0,47.0
105,10,1,1,5,11,40.72351247,-73.98283066,4.0,1.5,2.0,2.0,299.0,364.0,74.75
105,33,1,2,5,14,40.82257433,-73.95258215,2.0,1.0,1.0,1.0,65.0,0.0,32.5
33,108,1,1,5,11,40.72123552,-73.95362109,2.0,1.0,1.0,1.0,180.0,365.0,90.0
105,17,1,1,5,11,40.74553121,-73.97503096,5.0,1.0,2.0,3.0,220.0,321.0,44.0
8,96,1,2,5,14,40.75556503,-73.93188411,2.0,1.0,1.0,1.0,70.0,365.0,35.0
105,45,1,1,5,14,40.76740215,-73.96934014,2.0,1.0,1.0,1.0,250.0,365.0,125.0
33,103,1,1,5,11,40.70248791,-73.94879931,4.0,1.0,1.0,2.0,139.0,234.0,34.75
8,95,1,2,5,15,40.7773535,-73.90681221,3.0,1.1162872739425898,1.0,1.0,55.0,361.0,18.333333333333332
33,114,1,1,5,11,40.68191034,-73.97982134,2.0,1.0,1.0,1.0,159.0,134.0,79.5
33,136,1,2,5,11,40.70958429,-73.96616693,2.0,1.0,1.0,1.0,75.0,0.0,37.5
105,15,2,2,5,11,40.71901717,-73.9980196,6.0,1.0,1.0,3.0,175.0,364.0,29.166666666666668
76,151,11,2,5,15,40.75173507,-73.88129137,2.0,1.0,1.0,3.0,85.0,360.0,42.5
105,26,1,2,5,14,40.79570756,-73.96292439,2.0,2.0,1.0,2.0,85.0,364.0,42.5
33,123,1,3,5,8,40.65160226,-73.95071622,1.0,1.5,1.0,1.0,33.0,365.0,33.0
33,126,1,2,5,8,40.61136952,-73.96919212,2.0,1.0,1.0,1.0,70.0,364.0,35.0
33,133,14,2,5,12,40.71002111,-73.93072853,4.0,1.0,1.0,2.0,85.0,328.0,21.25
33,133,1,1,5,12,40.70068862,-73.92423761,3.0,1.0,2.0,1.0,175.0,365.0,58.333333333333336
105,17,1,1,5,14,40.74909592,-73.98300412,2.0,1.0,1.0,1.0,225.0,324.0,112.5
105,108,1,1,5,11,40.71316796,-73.94851074,4.0,1.0,2.0,4.0,225.0,331.0,56.25
